epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,47.6551,2.56617,4.76815,1.93742,0.00109,0.32669,0.00158,0.00042,2.03784,4.58785,1.70072,0.00186,0.00062,0.00186,0.00062,0.00186,0.00062,0.00186,0.00062
2,87.1308,1.53614,3.40226,1.37523,0.91666,0.13146,0.60972,0.33595,1.33893,3.22578,1.35899,0.00374258,0.00124753,0.00374258,0.00124753,0.00374258,0.00124753,0.00374258,0.00124753
3,123.327,1.06714,1.81974,1.15999,0.75175,0.749,0.79443,0.44915,1.15843,2.40653,1.2146,0.00558714,0.00186238,0.00558714,0.00186238,0.00558714,0.00186238,0.00558714,0.00186238
4,157.233,0.79794,1.33604,0.94726,0.84611,0.90837,0.93336,0.66774,0.90013,1.71363,1.09186,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,195.33,0.68425,1.10706,0.88749,0.87624,0.95618,0.95812,0.74647,0.81474,1.45519,0.99933,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,232.298,0.60249,0.90862,0.85749,0.92936,0.96016,0.98522,0.82068,0.68735,1.20904,0.94849,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,276.791,0.54345,0.78773,0.83934,0.95703,0.97607,0.99087,0.85273,0.58404,1.01881,0.89508,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,317.774,0.51858,0.72751,0.83994,0.97654,0.99507,0.99353,0.87895,0.51255,0.80677,0.86154,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,362.945,0.49095,0.65866,0.83298,0.98536,0.98805,0.9929,0.90197,0.45962,0.83908,0.84477,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,409.15,0.46993,0.63486,0.82959,0.98407,0.99602,0.9948,0.90442,0.4713,0.69609,0.84094,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,462.98,0.44455,0.58797,0.82796,0.99644,0.95219,0.95508,0.88851,0.39692,0.68424,0.83248,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,516.818,0.42956,0.56333,0.82466,0.99795,0.9761,0.97505,0.90183,0.40295,0.56676,0.82768,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,571.331,0.41628,0.52497,0.82439,0.9837,0.96813,0.97464,0.91542,0.39706,0.58585,0.82555,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,630.183,0.39725,0.5021,0.81327,0.98076,0.83665,0.83523,0.79342,0.34669,0.51303,0.81517,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,693.785,0.39473,0.4812,0.81059,0.99648,0.76494,0.76563,0.73018,0.34053,0.52712,0.81814,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,743.679,0.3798,0.47161,0.80872,0.99602,0.99766,0.995,0.95551,0.33466,0.47983,0.8187,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,784.291,0.37286,0.45584,0.8114,0.98792,1,0.99496,0.94966,0.3371,0.47352,0.81814,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,821.488,0.3643,0.4313,0.80767,0.99958,1,0.995,0.94877,0.32971,0.44487,0.819,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,855.987,0.37356,0.43171,0.81244,0.99967,1,0.995,0.95258,0.32306,0.42995,0.81728,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,891.781,0.354,0.41471,0.80541,0.99937,1,0.995,0.9546,0.29975,0.3941,0.81157,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,924.922,0.34802,0.40096,0.81057,0.99946,1,0.995,0.95433,0.32218,0.3968,0.81502,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,959.879,0.34791,0.39856,0.80802,0.99941,1,0.995,0.95806,0.30362,0.36876,0.81336,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,991.546,0.34958,0.38386,0.80863,0.99941,1,0.995,0.96034,0.29019,0.37891,0.80905,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,1025.67,0.34006,0.37724,0.80788,0.99833,1,0.995,0.95563,0.29673,0.37398,0.80605,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,1059.68,0.34052,0.36504,0.80207,1,0.99876,0.995,0.97221,0.2802,0.34902,0.81023,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,1094.02,0.34164,0.36678,0.80794,0.99962,1,0.995,0.96416,0.28361,0.34572,0.80816,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,1128.25,0.32472,0.35202,0.80177,0.99969,1,0.995,0.96833,0.27965,0.35717,0.80784,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,1161.83,0.32823,0.35202,0.80274,0.99971,1,0.995,0.96117,0.28274,0.3369,0.80887,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,1192.37,0.32589,0.34086,0.80096,0.99933,1,0.995,0.96188,0.27983,0.33163,0.80822,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,1223.82,0.31557,0.33288,0.79995,0.99971,1,0.995,0.96539,0.28585,0.32348,0.80643,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,1254.85,0.31076,0.33493,0.79538,0.99904,1,0.995,0.96867,0.26634,0.32228,0.80694,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,1287.54,0.31844,0.3277,0.80569,0.99959,1,0.995,0.97437,0.25626,0.30392,0.80583,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,1318.23,0.31662,0.32308,0.80732,0.99977,1,0.995,0.97355,0.26375,0.29803,0.8038,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,1348.18,0.3122,0.32733,0.80133,0.99968,1,0.995,0.96799,0.27829,0.3016,0.80699,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,1378.84,0.30925,0.31885,0.80028,0.99948,1,0.995,0.96922,0.2712,0.30447,0.80472,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,1412.7,0.30028,0.31577,0.79927,0.99957,1,0.995,0.9789,0.26288,0.31139,0.80353,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,1445.07,0.30196,0.30651,0.79717,0.99973,1,0.995,0.97913,0.25522,0.29259,0.80394,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,1476.49,0.29863,0.30607,0.79684,0.99972,1,0.995,0.98247,0.25184,0.28741,0.80071,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,1507.5,0.29128,0.29886,0.79449,0.99968,1,0.995,0.97572,0.25667,0.28941,0.80187,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,1539.39,0.28552,0.29211,0.79529,0.9989,1,0.995,0.9735,0.25132,0.27561,0.80356,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,1574.34,0.28885,0.29429,0.79031,0.99974,1,0.995,0.97822,0.25199,0.2729,0.80384,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,1616.45,0.28069,0.28754,0.79358,0.99961,1,0.995,0.97596,0.25409,0.27353,0.79988,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,1653.97,0.28759,0.28285,0.79751,0.99968,1,0.995,0.97666,0.25063,0.27511,0.80168,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
